gene_id,gene_idx
ENSG00000110245,880
ENSG00000267467,881
ENSG00000189058,882
ENSG00000130203,883
ENSG00000175336,884
ENSG00000091583,885
ENSG00000100342,886
ENSG00000128335,887
ENSG00000128284,888
ENSG00000100336,889
ENSG00000128313,890
ENSG00000221963,891
ENSG00000178878,892
ENSG00000204444,893
ENSG00000184831,894
ENSG00000155008,895
ENSG00000142192,896
ENSG00000062725,897
ENSG00000157500,898
ENSG00000136044,899
ENSG00000198931,900
ENSG00000137074,901
ENSG00000240583,902
ENSG00000167580,903
ENSG00000165272,904
ENSG00000171885,905
ENSG00000161798,906
ENSG00000086159,907
ENSG00000165269,908
ENSG00000259916,909
ENSG00000103375,910
ENSG00000103569,911
ENSG00000143595,912
ENSG00000178301,913
ENSG00000184945,914
ENSG00000185176,915
ENSG00000021776,916
ENSG00000169083,917
ENSG00000078061,918
ENSG00000186635,919
ENSG00000047365,920
ENSG00000120318,921
ENSG00000113391,922
ENSG00000198576,923
ENSG00000095139,924
ENSG00000109321,925
,926
ENSG00000119682,927
ENSG00000143761,928
ENSG00000134287,929
ENSG00000168374,930
ENSG00000004059,931
ENSG00000165527,932
ENSG00000101199,933
ENSG00000149182,934
ENSG00000242247,935
ENSG00000066777,936
ENSG00000124198,937
ENSG00000112379,938
ENSG00000164144,939
ENSG00000132254,940
ENSG00000101246,941
ENSG00000118520,942
ENSG00000081181,943
ENSG00000186103,944
ENSG00000134884,945
ENSG00000175220,946
ENSG00000089820,947
ENSG00000100852,948
ENSG00000047648,949
ENSG00000241484,950
ENSG00000123329,951
ENSG00000071205,952
ENSG00000198826,953
ENSG00000285077,954
ENSG00000165322,955
ENSG00000075884,956
ENSG00000140750,957
ENSG00000146376,958
ENSG00000213390,959
ENSG00000137727,960
ENSG00000107863,961
ENSG00000128805,962
ENSG00000275832,963
ENSG00000138639,964
ENSG00000163219,965
ENSG00000145819,966
ENSG00000159314,967
ENSG00000088756,968
ENSG00000137962,969
ENSG00000186517,970
ENSG00000031081,971
ENSG00000134909,972
ENSG00000004777,973
ENSG00000160007,974
